Language,English,German,Spanish,Russian
STR_SET_39_0,The mission uses all available equipment\n,Die Mission nutzt alle verfügbaren Geräte\n,La misión utiliza todo el equipo disponible\n,В миссии используется все доступная техника\n
STR_SET_40,Parajumps without parachute are allowed)))\n,Fallschirmsprünge ohne Fallschirm sind erlaubt)))\n,Los saltos en paracaídas sin paracaídas están permitidos)))\n,Прыжки без парашюта разрешены)))
STR_SET_41,DOSAAF vehicles allowed\n,DOSAAF-Fahrzeuge präsentieren\n,Vehículos DOSAAF presentes\n,Присутствуют ДОСААФ машины\n
STR_SET_42,"Parachute into the mission if the time of absence exceeds %1 min.\n","Eintritt mit Fallschirm zur Basis, wenn die Abwesenheitszeit %1 min überschreitet.\n","Entrada con paracaídas a la base si el tiempo de ausencia supera %1 min.\n","Заход в миссию на парашюте, если отсутствие долее %1 мин.\n"

STR_SPPM,SPPM :,SPPM :,SPPM :,СППМ :
STR_SPPM_ADD,Add,Erstellen,Crear,Создать
STR_SPPM_CHECK,Check out,Überprüfen,Comprueba,Проверить
STR_SPPM_HELP,SPPM help,SPPM help,SPPM help,Описание
STR_SPPM_HELP_TITLE,What is 'SPPM'?,Was ist SPPM?,¿Qué es el SPPM?,Что такое 'СППМ'?
STR_SPPM_HELP_1,SPPM (СППМ) is a Russian acronym that stands for 'Collecting Point for Damaged Vehicles' (thx to HE_MACTEP).,SPPM (СППМ) ist ein russisches Akronym und steht für 'Sammelstelle für beschädigte Fahrzeuge (dank des HE_MACTEP).',SPPM (СППМ) es un acrónimo ruso que significa 'Punto de recogida de vehículos dañados' (gracias al HE_MACTEP).,СППМ - аббревиатура от 'Сборный Пункт Повреждённых Машин' (спасибо НЕ_МАСТЕРу за инфу).
STR_SPPM_HELP_2,In a mission this is a special marker indicating a group of trophy or other vehicles of all types.,"In einer Mission ist dies eine spezielle Markierung, die eine Gruppe von Trophäen oder anderen Fahrzeugen aller Art anzeigt.",En una misión es un marcador especial que indica un grupo de trofeos u otros vehículos de todo tipo.,В миссии это - специальный маркер указывающий на группу трофейных или иных машин всех типов.
STR_SPPM_HELP_3,"Machines in the marker are listed in order of importance: trucks (rem, ammo, gasoline, etc.), tracked vehicles, wheeled vehicles, aviation, ships.","Die Fahrzeuge in der Markierung sind in der Reihenfolge ihrer Bedeutung aufgelistet: Lastkraftwagen (Rem, Munition, Benzin usw.), Kettenfahrzeuge, Radfahrzeuge, Flugzeuge, Schiffe.","Los vehículos del marcador se enumeran por orden de importancia: camiones (rem, munición, gasolina, etc.), vehículos de oruga, vehículos de ruedas, aviación, barcos.","Машины в маркере указаны по порядку важности: грузовики (рем, аммо, бензин и пр.), гусеничная техника, колёcные, авиация, суда."
STR_SPPM_HELP_4,"The marker shows the first most important type of transport in the group. Missing more important types are skipped. The ammo truck is shown with the repair truck marker!","Die Markierung zeigt die wichtigste Verkehrsart in der Gruppe an. Fehlende wichtigere Typen werden übersprungen. Der Munitionswagen wird durch die Markierung rem. truck angezeigt.","El marcador muestra el primer tipo de transporte más importante del grupo. Se omiten los tipos más importantes. El camión de municiones se muestra con el marcador de camiones rem.","Маркер показывает первый по важности вид транспорта в группе. Отсутствующие более важные типы пропускаются. Аммо грузовик показан знаком рем. грузовика!"
STR_SPPM_HELP_5,"When you are in the machine, you create a marker, outside, you update existing markers. All work with markers is automatic.","Wenn Sie in der Maschine sind, erstellen Sie eine Markierung, außerhalb aktualisieren Sie bestehende Markierungen. Die gesamte Arbeit mit Markern erfolgt automatisch.","Cuando estás en la máquina, creas un marcador, fuera, actualizas los marcadores existentes. Todo el trabajo con los marcadores es automático.","Находясь в машине, вы создаёте маркер, вне - обновляете имеющиеся маркеры. Вся работа с маркерами  - автоматическая."
STR_SPPM_HELP_6,"<To continue, click the 'Continue' button at the very bottom of the dialog box (or 'Escape').>","<Um fortzufahren, drücken Sie die Schaltfläche 'Weiter' ganz unten im Dialog (oder 'Escape').>","<Para continuar, pulse el botón 'Continuar' en la parte inferior del diálogo (o 'Escape').>",<Для продолжения работы нажмите кнопку 'Продолжить' в самой нижней строке диалога (или 'Escape')>.

STR_SPPM_0,SPPM markers not found on map,SPPM-Marker nicht auf der Karte gefunden,Los marcadores de SPPM no se encuentran en el mapa,Маркеры СППМ на карте отсутствуют
STR_SPPM_1,"%1: %2 SPPM markers, %3 updated, %4 removed","%1: %2 SPPM-Markierungen, %3 aktualisiert, %4 entfernt","%1: %3 marcadores de SPPM, %3 actualizado, %4 eliminado","%1: СППМ маркеров %2, обновлено %3, удалено %4"
STR_SPPM_2,"SPPM markers are not used on the base","SPMM-Marker werden in der Basis nicht benutzt","Los marcadores SPPM no se usan en la base","Маркеры СППМ не действуют на базе"
STR_SPPM_2_1,"SPPM markers are not used within a settlement borders","SPPM-Marker werden nicht innerhalb der Stadtgrenzen verwendet","Los marcadores SPPM no se utilizan dentro de los límites de la ciudad","Маркеры СППМ не действуют внутри границ города"
//STR_SPPM_3,"You are in vehicle, no SPPM marker detected near around, the new one can be created","Du bist in einem Fahrzeug, in der Nähe wurde keine SPPM-Markierung entdeckt, die neue kann erstellt werden","Estás en el vehículo, no se ha detectado ningún marcador de SPPM cerca, se puede crear uno nuevo","Вы в машине, поблизости нет других маркеров СППМ, новый маркер может быть создан (в ближайшем будущем)"
STR_SPPM_4,The existing SPPM is updated,SPPM aktualisiert,SPPM actualizado,СППМ обновлён
STR_SPPM_4_1,"This SPPM cannot be updated due to the proximity of another SPPM","Du kannst dieses SPPM nicht aktualisieren, weil jemand anderes in der Nähe ist","No se puede actualizar este SPPM debido a la proximidad de alguien más","Нельзя обновить этот СППМ из-за близости другого"
STR_SPPM_5,The existing SPPM is used,Das existierende SPPM wird benutzt,Se ha utilizado el SPPM más cercano,Использован ближайший СППМ
STR_SPPM_6,The empty SPPM removed,Das leere SPPM entfernt,El SPPM vacío eliminado,Пустой СППМ удалён
STR_SPPM_6_1,The SPPM mark without marker removed,Der SPMM-Punkt ohne Markierung wurde entfernt,El punto SPMM sin marcador ha sido eliminado.,Точка СППМ без маркера удалена
STR_SPPM_6_2,SPPM marking object not found!,Der SPPM ohne Markierung entfernt,El SPPM sin el marcador removido,Центр СППМ на земле не обнаружен
STR_SPPM_6_3,Marking object (%1) on SPPM of unknown type!,Objekt (%1) auf SPPM unbekannten Typs markieren,Objeto marcador (%1) en SPPM de tipo desconocido,Маркерный предмет (%1) СППМ неизвестного типа
STR_SPPM_7,You press this button too often (%1/%2 sec),Du drückst diese Taste zu oft (%1/%2 Sek.),Presionas este botón con demasiada frecuencia (%1/%2 seg.),Вы слишком часто нажимаете эту кнопку (%1/%2 сек.)
STR_SPPM_8,"Stop engine to work with SPPM markers","Stoppe die Engine, um mit SPPM-Markern zu arbeiten","Parar el motor para trabajar con los marcadores SPPM","Выключите двигатель для работы с СППМ маркерами"
STR_SPPM_ADD_ERR,Error in the creation of the new SPPM: The parameters for the procedure were incorrect (%1),Neuer SPPM-Erstellungsfehler: falsche Parameter für die angegebene Prozedur (%1),Nuevo error de creación de SPPM: parámetros incorrectos para el procedimiento especificado (%1),Ошибка создания нового СППМ: указаны неверные параметры для процедуры (%1)
STR_SPPM_ADD_ERR_1,New SPPM creation error: can't generate good marker name,Neuer SPPM-Erstellungsfehler: Marker-Name kann nicht generiert werden!,Nuevo error de creación de SPMM: ¡El nombre del marcador no puede ser generado!,Ошибка создания нового СППМ: нельзя сгенерировать имя маркера!
STR_SPPM_ADD_ERR_2,SPPM not created: no suitable vehicles in the vicinity,SPPM nicht erstellt: keine Fahrzeuge,SPPM no creado: no hay vehículos,СППМ не создан: подходящие транспортные средства отсутствуют
STR_SPPM_ADD_ERR_3,The nearest SPPM is at %1 m. Move the vehicle closer to it.,Der nächstgelegene SPPM ist bei %1 m. Fahr das Fahrzeug näher ran.,El SPPM está en %1 m. Acerque el vehículo a él.,Есть СППМ на дистанции %1 м. Переместите  транспортное средство ближе к нему.
STR_SPPM_ADD_ERR_4,New SPPM center is too close to the near SPPM. Move or combine them,Das neue SPPM-Zentrum liegt zu nahe am nahen SPPM. Verschieben oder kombinieren Sie sie,El nuevo centro de SPPM está demasiado cerca del SPPM cercano. Muévelos o combínalos,Центр нового СППМ слишком близок к существующему. Разнесите/объедините эти два СППМ
STR_SPPM_ADD_SUCCESS,SPPM successfully created (%1 m),SPPM wurde erfolgreich erstellt (%1 m)!,¡El SPPM ha sido creado con éxito (%1 m)!,СППМ успешно создан (%1 м)!

STR_LIGHTHOUSE_KILLED,"Lighthouse near %1 destroyed","Leuchtturm bei %1 zerstört","Faro cerca de %1 destruido","Маяк близ %1 уничтожен"
STR_LIGHTHOUSE_SIREN,"Siren on/off","Sirene ein/aus","Activación/desactivación de la sirena","Вкл/выкл сирену"
STR_LIGHTHOUSE_OFF,Siren off,Sirene ausgeschaltet,sirena apagada,Сирена отключена
STR_LIGHTHOUSE_ON,Siren on,Sirene ein,Sirena encendida,Сирена включена

#include "strgru.csv"

#include "strrumors.csv"

#include "strmusic.csv"

STR_FIRELIT_NUM,2,2,2,2
STR_FIRELIT_0,Our people are not bured such fires,Unsere Leute solche Brände sind nicht gezüchtet,Parece que la hoguera no fue avivada por nuestra gente.,"Похоже, что костёр разжигали не наши люди"
STR_FIRELIT_1,In this way the bonfires are lit only scouts in the West,Auf diese Weise wird das Feuer entzündet nur Kundschafter im Westen,Así es como las hogueras son criadas por los Scouts en el Oeste,Так костры разводят скауты на Западе

STR_LIT_PRIZE,You get the prize for the Observation (+%1),Du hast den Preis für die Beobachtung (+%1),Usted obtiene un premio por observación (+%1),Вы получаете приз за наблюдательность (+%1)

STR_FIRE_NUM,3,3,3,3
STR_FIRE_0,The fire is still hot,Das Feuer ist noch heiß,Fogata todavía caliente,Костёр ещё горячий
STR_FIRE_1,On the fire fried beans - this is exactly the Americans!,Auf dem Feuer gebratenen Bohnen - genau das ist den Amerikanern!,"En la hoguera se asaron frijoles, ¡esto es definitivamente Amers!",На костре жарили бобы - это точно амеры!
STR_FIRE_2,You think: why is there a fire?,Sie denken: - wo ist hier das Feuer?,¿De dónde viene la hoguera?,Вы думаете: - откуда здесь костёр?

STR_FIRE_UNKNOWN,You can't understand what it is,"Ich kann nicht verstehen, was es ist",No está claro qué es,"Непонятно, что это такое"

STR_JAIL_1,Hint: You are subject to disciplinary action for violation of the Charter of the Soviet army,Hinweis: Sie sind disziplinarmassnahmen für die Verletzung der Charta der Sowjetischen Armee,Se le impone una sanción disciplinaria por violar los estatutos del Ejército Soviético,На вас наложено дисциплинарное взыскание за нарушение устава Советской Армии
STR_JAIL_2,You will regain control after you have served your sentence of %1 seconds,"Sie werden die Kontrolle zurückzugewinnen, nachdem Sie gedient haben Ihren Satz von %1 Sekunden",Después de cumplir la pena durante %1 seg. el control será devuelto,После отбывания наказания в течении %1 сек. контроль будет возвращён
STR_JAIL_3,Or you can press  Alt + F4 to exit immediately,"Oder du kannst Alt + F4 drücken, um sofort zu beenden","O puedes pulsar Alt + F4 para salir inmediatamente","Чтобы покинуть остров немедленно, используйте Alt + F4"
STR_JAIL_4,Don't be in a hurry to spoil military property!,"Habe es nicht eilig, militärisches Eigentum zu verderben!",¡No tengas prisa por estropear la propiedad militar!,Не спешите портить военное имущество!

STR_ENG_FUND_1,The Engineering Fund rises to %1,Das Der technische Fonds steigt auf %1,El fondo de ingeniería sube a %1,Инженерный Фонд вырос до %1
STR_ENG_FUND_2,The Engineering Fund reduced to 1%,Der Engineering-Fonds wurde auf %1 reduziert,El fondo de ingeniería se redujo a %1,Инженерный фонд уменьшился до %1

STR_FAC_OWN_VEH,The Factory was destroyed by our projectile from %1 (%2),Die Fabrik wurde durch unser Projektil von %1 (%2) zerstört),Servicio destruido por su proyectil de %1 (%2),Сервис уничтожен своим снарядом из %1(%2)
STR_FAC_OWN_MAN,The Factory was destroyed by our soldier %2,Die Anlage wurde von unserem Soldaten %2 zerstört.,Servicio destruido por su luchador %2,Сервис уничтожен своим бойцом %2
STR_FAC_ENEMY_VEH,The Factory was destroyed by enemy projectile from %1(%2),Die Fabrik wurde von einem gegnerischen Projektil von %1(%2) zerstört),Servicio destruido por un proyectil enemigo de %1 (%2),Сервис уничтожен вражеским снарядом из %1(%2)
STR_FAC_ENEMY_MAN,The factory was destroyed by an enemy saboteur %2,Die Fabrik wurde von einem feindlichen saboteur zerstört %2,Servicio destruido por un saboteador enemigo %2,Сервис уничтожен вражеским диверсантом %2
STR_FAC_UNKNOWN_VEH,The Factory was destroyed by unknown means,Die Fabrik wurde mit unbekannten Mitteln zerstört,Servicio destruido de una manera desconocida,Сервис уничтожен неизвестным образом
STR_FAC_UNKNOWN_MAN,The factory was destroyed by unknown means,Die Fabrik wurde mit unbekannten Mitteln zerstört,Servicio destruido de una manera desconocida,Сервис уничтожен неизвестным образом

STR_HUD_ON,Turn HUD On,HUD einschalten,Encender la pantalla,Вкл. дисплей
STR_HUD_OFF,Turn HUD off,HUD ausschalten,Desactivar la pantalla,Откл. дисплей

STR_BONUS,"In gratitude, people reported that they noticed the old vehicle of DOSAAF (%2) near %1. Inspect it and deliver to the base.","Aus Dankbarkeit meldeten die Leute, dass sie das alte Fahrzeug von DOSAAF (%2) in der Nähe von %1 bemerkt haben. Untersuchen Sie es und liefern Sie es an die Basis.","En agradecimiento, la gente informó que notó el viejo vehículo de DOSAAF (%2) cerca de %1. Inspecciónalo y entrégalo a la base","В благодарность жители сообщили, что в р-не %1 заметили старую технику ДОСААФ (%2). Изучите её и доставьте на базу."
STR_BONUS_1,"ДОСААФ (Voluntary Society for Assistance to the Army, Aviation and Navy) News:","ДОСААФ (Freiwillige Gesellschaft zur Unterstützung der Luftwaffe und der Marine) News:","Noticias del ДОСААФ (Sociedad de Voluntarios para la Asistencia al Ejército del Aire y la Marina):","Новости ДОСААФ:"
STR_BONUS_1_1,"'%1' found '%2' (+%3 points)","'%1' gefunden '%2' (+%3 points)","'%1' encontrado '%2' (+%3 points)","'%1' обнаружил '%2' (+%3 очка)"
STR_BONUS_1_2,"A temporary marker has been created, visible until '%1' registers with the recovery service.","Es wurde eine temporäre Markierung erstellt, die sichtbar ist, bis sich '%1' beim Wiederherstellungsdienst registriert.","Se ha creado un marcador temporal, visible hasta que '%1' se registre en el servicio de recuperación.","Создан временный маркер, видимый до регистрации '%1' на сервисе восстановления."
STR_BONUS_1_3,"Registration: deliver %1 to the base and invoke the '%2' command","Registrierung: %1 an Basis liefern und '%2' aufrufen","Registro: entregar %1 a la base e invocar '%2'","Регистрация: доставить %1 на базу и вызвать команду '%2'."
STR_BONUS_2,"It was ""%1""! When you deliver the vehicle to the base you get points (+%2), and the machine - the possibility of full resurrection","Es war ""%1""! Wenn Sie die Ausrüstung an den Stützpunkt liefern, erhalten Sie Punkte (+%2), und die Maschine - die Möglichkeit der vollständigen Wiederherstellung","¡Era ""%1""!Cuando entregas el equipo a la base obtienes puntos (+%2), y la máquina - la posibilidad de una recuperación total","Здесь был ""%1""! При доставке технику на базу Вы получаете очки (+%2), а машина - возможность полного восстановления"
STR_BONUS_3,"Not bad! You got the baby to the base, you got points (+%1), the baby was able to recover!","Nicht schlecht! Du hast das Fahrzeug zum Stützpunkt gebracht, die Punkte werden ausgegeben (+%1), das Fahrzeug hat die Fähigkeit erworben, sich zu erholen!","¡No está mal! Has llevado el vehículo a la base, se han emitido puntos (+%1), ¡el vehículo ha adquirido la capacidad de recuperación!","Неплохо! Вы доставили машину на базу, выданы очки (+%1), машина приобрела возможность восстановления!"
STR_BONUS_3_1,"Registering a new vehicle","Zulassung eines neuen Fahrzeugs","Matriculación de un vehículo nuevo","Постановка на учёт новой боевой единицы"
STR_BONUS_3_2,"Check-in '%1' is done, recovery service is allowed (responsible '%2', +%3 points)","Registrierung '%1' durchgeführt, Verwertungsdienst genehmigt (zuständig '%2', +%3 points)","Registro '%1' realizado, servicio de recuperación permitido (responsable '%2', +%3 points)","Проведена постановка на учёт '%1', разрешено использование сервиса восстановления (ответственный '%2', очки +%3)"
STR_BONUS_3_3,"This vehicle will be restored when it is destroyed","Diese Maschinerie wird wiederhergestellt, wenn sie zerstört ist","Esta maquinaria será restaurada cuando sea destruida","Эта техника будет восстановлена при её разрушении"
STR_BONUS_3_4,"Vehicle is already registered","Zulassung eines neuen Fahrzeugs","Matriculación de un vehículo nuevo","Техника DOSAAF уже зарегистрирована"
STR_BONUS_4,Information:,Informationen:,Información:,Информация:
STR_BONUS_4_1,"You see '%1'","Sie sehen '%1'","Se ve '%1'","Вы видите '%1'"
STR_BONUS_4_2,"Deliver '%1' to the base and call command '%2'","Liefern Sie '%1' an die Basis und rufen Sie den Befehl '%2' auf","Entregar '%1' a la base y llamar al comando '%2'","Доставьте '%1' на базу и вызовите команду '%2'"
STR_BONUS_5,"One of your local soldiers %1 inspected vehicle %2, which he discovered.","Einer Ihrer Soldaten %1 hat das Fahrzeug %2 inspiziert und entdeckt.","Uno de sus soldados %1 inspeccionó el vehículo %2, que descubrió.","Один из ваших местных бойцов %1 обследовал обнаруженный им экземпляр '%1'."
STR_BONUS_DEL,"Bonus vehicle (%1) killed (%2)","Bonusfahrzeug (%1) getötet (%2)","Vehículo de bonificación (%1) muerto (%2)","Призовая техника (%1) уничтожена (%2)"
STR_BONUS_DEL_1,in an unknown way,auf eine unbekannte Art und Weise,de forma desconocida,неизвестным образом
STR_BONUS_6,"%1 vehicle of ДОСААФ detected on the island","%1 Fahrzeug[e] von ДОСААФ auf der Insel entdeckt","%1 vehículo[s] de ДОСААФ detectado en la isla","На острове обнаружена техника ДОСААФ: %1 шт."
STR_BONUS_7,"When in doubt about your ability to take off from this pad, use afterburner (Shift) on take-off!","Wenn Sie Zweifel an Ihrer Fähigkeit haben, von diesem Platz zu starten, benutzen Sie den Nachbrenner (Shift) beim Start!","En caso de duda sobre su capacidad para despegar desde esta plataforma, utilice el postquemador (Shift) en el despegue!","При сомнениях в своей способности поднять самолёт с этой площадки, используй при взлёте форсаж (Shift)!"
STR_BONUS_8,%1 is located in %2,%1 liegt in %2,%1 está en %2,%1 расположен в %2
STR_BONUS_9,The vehicle engine must be stopped to register,Der Motor des Fahrzeugs muss für die Registrierung abgestellt werden,El motor del vehículo debe estar parado para registrar,Двигатель машины при регистрации должен быть выключен
STR_BONUS_ERR,"DOSAAF vehicle is not detected. Can we expect to see it at all?","Das DOSAAF-Fahrzeug wurde nicht entdeckt. Können wir überhaupt damit rechnen, es zu sehen?","El vehículo DOSAAF no ha sido detectado. ¿Podemos esperar verlo?","Техника ДОСААФ не обнаружено. Возможно ли, что она закончилась?"

// STR_TOWN_INFO,DOSAAF map: Town %1,DOSAAF map: Town,DOSAAF map: Town %1,Карта ДОСААФ: Гoрод %1
// STR_TOWN_INFO_1,"DOSAAF map: Town %1, radius %2","DOSAAF map: Town %1, radius %2","DOSAAF map: Town %1, radius %2","Карта ДОСААФ: гoрод %1, радиус %2"
STR_BASE_TITLE,"DOSAAF map (scale 1:%1): our base in the suburbs of Paraiso","DOSAAF-Karte (Maßstab 1:%1): Unser Stützpunkt in den Vororten von Paraiso","Mapa del DOSAAF (escala 1:%1): nuestra base en los suburbios de Paraíso","Карта ДОСААФ (масштаб 1:%1): наша база в предместье Параисо"
STR_BASE_TITLE_SHORT,"DOSAAF map: our base","DOSAAF map: Unsere Basis","DOSAAF map: Nuestra base","Карта ДОСААФ: наша база"
STR_BONUS_INFO,"DOSAAF vehicle '%1' close to '%2'. %3","DOSAAF '%1' Fahrzeug, in der Nähe von '%2'. %3","Vehículo DOSAAF '%1', cerca de '%2'. %3","Техника ДОСААФ '%1', близ '%2'. %3"
STR_BONUS_INFO_1,"Appropriate DOSAAF vehicle has not been found, this is a misunderstanding!","Es wurde kein geeignetes DOSAAF-Fahrzeug gefunden, das ist ein Missverständnis!","No se ha encontrado el equipo apropiado de DOSAAF, ¡es un malentendido!","Соответствующая техника ДОСААФ не найдена, это недоразумение!"
STR_BONUS_INFO_2,Distance from the base marker less than 1 km,Entfernung von der Basismarkierung weniger als 1 km,Distancia del marcador de base inferior a 1 km,Дистанция от базовой карты менее 1 км
STR_BONUS_INFO_3,The distance from the base marker is about %1 km,Die Entfernung von der Basismarkierung beträgt etwa %1 km,La distancia desde el marcador base es de aproximadamente %1 km,Дистанция от базовой карты около %1 км

STR_DOSAAF_MAP,"The DOSAAF map has been updated. Vehicles abandoned %1, found %2, burned %3, disappeared %4","Die DOSAF-Karte wurde aktualisiert. Ausrüstung aufgegeben %1, gefunden %2, verbrannt %3, verschwunden %4","El mapa del DOSAAF ha sido actualizado. Equipo abandonado %1, encontrado %2, quemado %3, desaparecido %4","Карта ДОСААФ обновлена. Техника брошена %1, найдена %2, сгорела %3, исчезла %4"
STR_DOSAAF_ABOUT,"All-Union Voluntary Society for Assistance to the Army, Aviation, and Fleet of the USSR (since 1947). Originally OSOAVIACHIM (since 1927).","Die All-Union Freiwillige Gesellschaft für die Unterstützung von Armee, Luftfahrt und Marine der UdSSR (1947). Ursprünglich OSOAVIACHIM (1927).","Sociedad de Voluntarios de toda la Unión para la Asistencia al Ejército, la Aviación y la Marina de la URSS (desde 1947). Originalmente Osoaviachim (desde 1927).","Всесоюзное добровольное общество содействия армии, авиации и флоту СССР (с 1947), первоначально как ОСОАВИАХИМ (с 1927)."
STR_DOSAAF_TITLE,What is DOSAAF,Was ist der DOSAAF,Qué es el DOSAAF,Что такое ДОСААФ
STR_DOSAAF_UPDATE,Update the DOSAAF map,Aktualisierung der DOSAAF-Karte,Actualizar el mapa del DOSAAF,Обновить карту ДОСААФ

STR_WPN_TITLE,Important information,Wichtige Nachricht,Mensaje importante,Важное сообщение
STR_WPN_INFO,"Remembering your armament is now done automatically when you exit the mission!","Das Speichern der Ausrüstung erfolgt jetzt automatisch, wenn man eine Mission beendet!","¡El recuerdo de tu equipo se hace ahora automáticamente al salir de una misión!","Запоминание Вашего снаряжение теперь производится автоматически, при выходе из миссии!"
STR_WPN_INFO_1,"Your backpack is saved every time you change its contents.","Ihr Rucksack wird jedes Mal gespeichert, wenn Sie seinen Inhalt ändern.","Tu mochila se guarda cada vez que cambias su contenido.","Ваш рюкзак сохраняется автоматически при любом изменении его содержимого."
STR_WPN_INFO_2,Weapons are saved at the moment you exit the mission.,"Die Waffen bleiben erhalten, wenn Sie eine Mission beenden.","Las armas se conservan al salir de una misión.","Оружие сохраняется в момент выхода из миссии."
STR_WPN_EXIT,"click '%1' to exit from dialog","drücken Sie '%1', um den Dialog zu verlassen","pulse '%1' para salir del diálogo","для выхода из диалога выберите '%1'"

STR_RADAR_NO,Received unreliable message,Empfangene unzuverlässige Nachricht,Mensaje recibido no fiable,Получено невнятное сообщение
STR_RADAR_MAST,Rusty GRU Radio-mast,Rostiger GRU-Funkmast,Mástil de radio GRU oxidado,Ржавая радио-мачта ГРУ
STR_RADAR_MAST_INFO,Look for a radio relay mast in the '%1' area.,Suchen Sie nach einem Richtfunkmast im Bereich '%1'.,Busca un mástil de radioenlace en la zona '%1'.,Ищите запасную радио-мачту в районе '%1'.
STR_RADAR_MAST_DEAD,Radio mast destroyed.,Funkmast zerstört.,Mástil de radio destruido.,Радио-мачта уничтожена.
STR_RADAR_MAST_UNLOADED,"Rusty radio mast, what junkyard did you find it in?","Verrosteter Funkmast, auf welchem Schrottplatz hast du den gefunden?","Mástil de radio oxidado, ¿en qué chatarrería lo encontraste?","Ржавая радио-мачта, на какой свалке вы её нашли?"
STR_RADAR_MAST_LOADED,Radio mast loaded,Funkmast geladen,Mástil de radio cargado,Радио-мачта загружена
STR_RADAR_MAST_INSTALLED,"Installed radio repeater mast. The motherland will hear us!","Ein Funk-Repeater-Mast wird installiert. Das Mutterland wird uns hören!","Un mástil repetidor de radio instalado. La patria nos escuchará","Установленная радиомачта-ретранслятор. Родина услышит нас!"
STR_RADAR_MAST_ALREADY_LOADED,Radio mast already loaded,Der Funkmast ist bereits geladen,El mástil de radio ya está cargado,Радиомачта уже загружена
STR_RADAR_MAST_ALREADY_UNLOADED,Radio mast already unloaded,Der Funkmast ist nicht geladen,El mástil de radio no está cargado,Радиомачта не загружена
STR_RADAR_MAST_FAR_AWAY,Mast further than %1 meters (%2),Mast weiter als %1 Meter (%2),Mástil de más de %1 metros (%2),Мачта дальше %1 м. (%2)
STR_RADAR_MAST_TOO_LOW,Mast below then %1 m. ASL. (%2),Mast niedriger als %1 m über dem Meeresspiegel (%2),Mástil inferior a %1 m sobre el nivel del mar (%2),Мачта ниже чем %1 м. над уровнем моря (%2)
STR_RADAR_MAST_HIGH,"The mast installation height is sufficient, %2 m ASL","Die Installationshöhe des Mastes ist ausreichend, %2 m über dem Meeresspiegel","La altura de instalación del mástil es suficiente, %2 m sobre el nivel del mar","Высота установки мачты достаточна, %2 м. над уровнем моря"
STR_RADAR_MAST_BAD_SLOPE,The mast cannot act on such an uneven surface,Der Mast kann auf einer so unebenen Fläche nicht wirken,El mástil no puede actuar sobre una superficie tan irregular,Мачта не может действовать на такой неровной поверхности
STR_RADAR_MAST_NEAR_BASE,"You can't put a mast in the base area! Take it farther away!","Sie können keinen Mast in der Basiszone aufstellen! Bringt es weiter weg!","¡No puedes poner un mástil en la zona de la base! Llévalo más lejos","В районе базы мачту устанавливать нельзя! Отвезите её подальше!"
STR_RADAR_MAST_IN_WATER,"The mast is in the water! Are you crazy?","Der Mast ist im Wasser! Sind Sie verrückt?","¡El mástil está en el agua! ¿Estás loco?","Мачта в воде! Ты рехнулся?"
STR_RADAR_BAD_SIGNAL,"The relay-mast doesn't seem to be working. Maybe it's not on the outermost ridge?","Der Repeater scheint nicht zu funktionieren. Vielleicht ist es nicht auf dem äußersten Kamm?","El repetidor no parece funcionar. ¿Quizás no está en la cresta más exterior?","Похоже, ретранслятор не работает. Возможно, он стоит не на самом крайнем хребте?"
STR_RADAR_INIT,"Look for a replacement radio mast in one of the settlements closest to the base.","Suchen Sie nach einem Ersatz-Funkmast in einer der Siedlungen in der Nähe der Basis.","Busca un mástil de radio de reemplazo en uno de los asentamientos más cercanos a la baseю","Ищите запасную радиомачту в одном из населенных пунктов, ближайших к базе."
STR_RADAR_INIT2,"Look for a blue truck to transport relay mast in one of the settlements near the base.","Halten Sie in einer der Städte in der Nähe des Stützpunktes Ausschau nach einem gelben Funkrelaiswagen.","Busca un camión amarillo de retransmisión de radio en uno de los pueblos cercanos a la base.","Ищите синий грузовик для перевозки радиорелейки в одном из н.п. неподалёку от базы."
STR_RADAR_INFO,"The GRU requires a radio relay mast to work!","Damit die GRU funktioniert, ist ein Funkrelais erforderlich!",Se necesita un relé de radio para que la GRU funcione,Для работы ГРУ требуется радио-ретранслятор!
STR_RADAR_FAILURE,"Something went wrong and the GRU radio relay could not be restored. %1%2","Es ist etwas schief gelaufen und das GRU-Funkrelais konnte nicht wiederhergestellt werden. %1%2","Algo salió mal y no se pudo restablecer el relé de radio de la GRU. %1%2","Что-то пошло не так и радиорелейку ГРУ не удалось восстановить. %1%2"
STR_RADAR_FAILURE_CONDITION,"Mission failure conditions: loss of the mast before installing it, failure to deliver the truck to the GRU PC after installing the mast.","Bedingungen für das Scheitern des Einsatzes: Verlust des Mastes vor der Installation, Nichtlieferung des LKW an den GRU PC nach der Installation des Mastes.","Condiciones de fallo de la misión: pérdida del mástil antes de su instalación, falta de entrega del camión al PC de la GRU después de la instalación del mástil.","Условия неудачи миссии: утеря мачты до её уcтановки, недоставка грузовика к ПЭВМ ГРУ после установки мачты."

STR_RADAR_TASK1,Return the truck to the GRU PC!,Bringen Sie den Lastwagen zum GRU PC zurück!,¡Devuelve el camión al PC del GRU!,Вернуть грузовик к ПЭВМ ГРУ!
